식당이름,카테고리,연락처,구,상세주소,해시태그,별점,별점수,리뷰내용
술익는마을,"호프,요리주점",02-338-1190,서대문구,연세로7길 22 (우)03788,#낮술하기좋은#데이트코스#민속주점#분위기좋은#제로페이,3.3,18,"음식은 괜찮은데 서비스가 영 꽝이네요. 30평생 살면서 분할계산 두번뿐이 안된다는 가게 처음 봤네요 ㅎㅎㅎ. 그리고 예방접종 증명서를 보여도 카톡 인증만 된다는 집은 처음 봤습니다 ㅎㅎ 직원분인지 사장분인지 모르겠지만 다시는 안갈거 같네요 ㅎㅎ@@한잔하기 좋네요@@마법이 이루어 지는 곳@@나쁘지 않습니다 @@사장님 친절하시고 나쁘지안음 @@음식은 괜찮은데 서비스가 영 꽝이네요. 30평생 살면서 분할계산 두번뿐이 안된다는 가게 처음 봤네요 ㅎㅎㅎ. 그리고 예방접종 증명서를 보여도 카톡 인증만 된다는 집은 처음 봤습니다 ㅎㅎ 직원분인지 사장분인지 모르겠지만 다시는 안갈거 같네요 ㅎㅎ@@한잔하기 좋네요@@마법이 이루어 지는 곳@@나쁘지 않습니다 @@사장님 친절하시고 나쁘지안음 @@음식은 괜찮은데 서비스가 영 꽝이네요. 30평생 살면서 분할계산 두번뿐이 안된다는 가게 처음 봤네요 ㅎㅎㅎ. 그리고 예방접종 증명서를 보여도 카톡 인증만 된다는 집은 처음 봤습니다 ㅎㅎ 직원분인지 사장분인지 모르겠지만 다시는 안갈거 같네요 ㅎㅎ@@한잔하기 좋네요@@마법이 이루어 지는 곳@@나쁘지 않습니다 @@사장님 친절하시고 나쁘지안음 @@I visited couple of times, they have good food but unfortunately we got this really bad experience this time.. very BAD SERVICE from the worker..   We were asked to change table (more like you MUST ch...@@분위기좋은 술집 시끌벅적@@어제 갔었음.1명 방문햇는데 매장에서 퇴짜당해서 포장햇음 일회용 젓가락 부탁햇더니 매장에서 쓰는 젓가락하고 그릇을 주셨는데..이게 호의인건지..밖에서 그릇들고 먹으면 사람 체면도 잇기에 괜찮다 말씀드리고 나옴 다음날인 오늘 먹을려고 보니 해물파전이 동그랑땡처럼 계란하고 튀김맛만시킴 파는 50g도 찾기힘들고 해물은 손톱크기의 냉동새우몇가닥 이게 17500원임...@@"
식탁 하늬솔점,이탈리안,02-362-0777,서대문구,성산로 527 하늬솔빌딩 1층 (우)03721,#데이트코스#친목모임#회식장소,2.7,21,"전에 먹어보고 맛있길래  일부러 또 방문했는데 갑자기 생긴 브레이크타임? sns시대에 그 어디에 공지 하나없이 짜증났네요@@2020년초: 톡톡새우파스타 13500원 2021년 중순: 톡톡새우파스타 14800원 2022년초: 톡톡새우파스타 15800원 사장이 바뀐간지 어케된건진 모르겠는데 메뉴 개편으로 인한 메뉴 간소화와 지속적인 가격 상승으로 잘 안가게될것 같음 1,2학년 시절엔 가성비로 친구들과 미식을 즐길 수 있는 곳이었다면 이젠 교수님 데리고 와야 먹을 수 있는 곳이 된듯...@@아니 맛은 있는데요..11시 45분에 주문을 들어갔는데 리조또랑 양송이 스프 하나 나오고 이거 다 먹을 동안 스테이크가 안나오길래 여쭤봤더니 스테이크 10분정도 걸릴거 같다고 그러시네요 무슨 스테이크가 30분 이상 안나오나요? 다시 부르니까 스테이크가 많이 밀려서 그렇다고 하는데 그럴거면 음식을 나중에 주시던가요 아니면 주문할 때 스테이크는 주문이 많이 밀...@@메뉴 개편 후 괜찮은 메뉴가 다 빠지고 가격은 오르고 양은 줄었네요. 맛도 좀 달라졌구요. 결정적으로 주방에서 일하시는분들 중 몇분이 마스크를 턱에만 하고 계시네요...@@딱 인스타 허세용 식당. 저렴하지도 않건만 서빙부터 서투르고 음식은 죄다 간이 맞지 않으며 가지덮밥에 들어간 돼지민찌는 살짝 냄새도 나더군요. 시끄러움 왁자지껄은 서비스.@@전에 먹어보고 맛있길래  일부러 또 방문했는데 갑자기 생긴 브레이크타임? sns시대에 그 어디에 공지 하나없이 짜증났네요@@2020년초: 톡톡새우파스타 13500원 2021년 중순: 톡톡새우파스타 14800원 2022년초: 톡톡새우파스타 15800원 사장이 바뀐간지 어케된건진 모르겠는데 메뉴 개편으로 인한 메뉴 간소화와 지속적인 가격 상승으로 잘 안가게될것 같음 1,2학년 시절엔 가성비로 친구들과 미식을 즐길 수 있는 곳이었다면 이젠 교수님 데리고 와야 먹을 수 있는 곳이 된듯...@@아니 맛은 있는데요..11시 45분에 주문을 들어갔는데 리조또랑 양송이 스프 하나 나오고 이거 다 먹을 동안 스테이크가 안나오길래 여쭤봤더니 스테이크 10분정도 걸릴거 같다고 그러시네요 무슨 스테이크가 30분 이상 안나오나요? 다시 부르니까 스테이크가 많이 밀려서 그렇다고 하는데 그럴거면 음식을 나중에 주시던가요 아니면 주문할 때 스테이크는 주문이 많이 밀...@@메뉴 개편 후 괜찮은 메뉴가 다 빠지고 가격은 오르고 양은 줄었네요. 맛도 좀 달라졌구요. 결정적으로 주방에서 일하시는분들 중 몇분이 마스크를 턱에만 하고 계시네요...@@딱 인스타 허세용 식당. 저렴하지도 않건만 서빙부터 서투르고 음식은 죄다 간이 맞지 않으며 가지덮밥에 들어간 돼지민찌는 살짝 냄새도 나더군요. 시끄러움 왁자지껄은 서비스.@@전에 먹어보고 맛있길래  일부러 또 방문했는데 갑자기 생긴 브레이크타임? sns시대에 그 어디에 공지 하나없이 짜증났네요@@2020년초: 톡톡새우파스타 13500원 2021년 중순: 톡톡새우파스타 14800원 2022년초: 톡톡새우파스타 15800원 사장이 바뀐간지 어케된건진 모르겠는데 메뉴 개편으로 인한 메뉴 간소화와 지속적인 가격 상승으로 잘 안가게될것 같음 1,2학년 시절엔 가성비로 친구들과 미식을 즐길 수 있는 곳이었다면 이젠 교수님 데리고 와야 먹을 수 있는 곳이 된듯...@@아니 맛은 있는데요..11시 45분에 주문을 들어갔는데 리조또랑 양송이 스프 하나 나오고 이거 다 먹을 동안 스테이크가 안나오길래 여쭤봤더니 스테이크 10분정도 걸릴거 같다고 그러시네요 무슨 스테이크가 30분 이상 안나오나요? 다시 부르니까 스테이크가 많이 밀려서 그렇다고 하는데 그럴거면 음식을 나중에 주시던가요 아니면 주문할 때 스테이크는 주문이 많이 밀...@@메뉴 개편 후 괜찮은 메뉴가 다 빠지고 가격은 오르고 양은 줄었네요. 맛도 좀 달라졌구요. 결정적으로 주방에서 일하시는분들 중 몇분이 마스크를 턱에만 하고 계시네요...@@딱 인스타 허세용 식당. 저렴하지도 않건만 서빙부터 서투르고 음식은 죄다 간이 맞지 않으며 가지덮밥에 들어간 돼지민찌는 살짝 냄새도 나더군요. 시끄러움 왁자지껄은 서비스.@@직원들이 별로 친절하지 않고 무엇하나 특색있는 음식이 없이 메뉴만 많다@@피자는 좀 그런데 파스타는 맛나네요. 전체적으로 괜찮은 듯@@베이징가지덮밥과(조금짜긴하지만) 톡톡새우파스타 맛있어요ㅎㅎ 피자는...좀 별로고요 어른들이 먹기에 적당한 입맛입니다@@구글에는 평점 4.1로 더 높아요. 분위기 좋고 맛있고 가격도 괜찮은데 왜 더 안 흥하죠 사실 흥하면 안돼요 지금이 좋은데 이게 망쳐지길 바라지 않거든요 그래도 좋앗기에 글 남겨요 새우파스타 최고였어요@@맛있어요 세트메뉴가 가성비가 좋아요@@@@"
포석정,"호프,요리주점",02-332-5538,서대문구,연세로11길 25 (우)03788,#제로페이,4.0,28,"신촌에 왔으면 포석정가는거 국룰  이제 리필은 제한되지만 그래도 가성비가 좋아요 딸기 막걸리 추천드립니다@@@@가성비 갑인 거 같기는 함.... 근데 진짜 화장실이 너무 심각해요 정말.... 위생도 그렇고 계단도 너무 불편하고 계속 머리 부딪혀서 너무 아팠음 화장실만 빼면 좋아요 딸막도 맛있음@@배불러야@@식사하면서 술 먹는 곳@@수업 마친뒤 제자들과 함께 한잔하기 좋은곳. 다만 화장실과 청결상태는 심각하니 신경쓰셔야~@@기본 안주부터 잘나오고 요리도 맛있게 잘나옵니다@@1.안주가 비쥬얼 좋고 JMT다 2.무조건 1차로 와야한다(안주가 너무 많아서) 3.단체 테이블이 있어 좋지만 간격이 좁아 살짝 불편한거 빼면 다좋다@@여기다@@음식은 맛있어요 가성비 좋고 다만 화장실 너무너무너무너무 끔찍해요...가 본 화장실 중 거의 최악입니다 그리고 제가 갔을 때 6시 이후 2인까지만 허용이었는데 그래서 그런지 몇몇 일행으로 보이는 사람들이 테이블 옮겨가면서 먹더라고요 계속 저희 테이블에 부딪히며 지나쳐서 불편했어요 그게 너무 티나던데 심지어 그걸 보시고도 가게에도 피해가 갈텐데 왜 그냥 두셨...@@@@@@메뉴들이 다 맛있어요! 기본 안주부터 신경쓰는게 느껴져서 넘 좋고 딸기막걸리 맛있어요! 메뉴 하나하나 다 맛있는데 가격도 저렴해서 좋아요!!!@@2/3차로는 절대..절대 불가능. 기본안주가 야무져서 무조건 1차로 가야 한다. 피크 시간대 (7~10시)엔 자리 없을 확률 높음. 밥술 같이 먹기로는 신촌 일대에서 최고@@저녁 안먹고 바로 술먹을때 가기 좋음 안주가 맛있음@@직원분들 진짜  섬세하고 친절하심@@신촌 술집 중 기본 안주 구성이 제일 야무지다. 기본 안주 뿐만 아니라 메인 메뉴들도 전부 맛있고 알차며 술 종류도 다양하다. 그런 탓에 1차부터 달리고 싶다면 무조건 여기고, 2/3차에 방문하면 진짜 배 터져서 다 못 먹는다. 6시 넘어가면 웨이팅 생기니 참고@@양 많고 좋은데, 화장실 진짜 너무 불편함 진짜 너무너무너무너무 불편함@@개맛잇어요@@와 나 살다살다 민증검사 10년만에 받아봄ㅋㅋㅋ이건 확인하는게 알바의 소임이니까 그렇다치는데, 말하는게 너무 띠꺼움 불친절하다고..알바땜에 포석정 명성 다 날아가겠다는 생각이 들 정도@@그릇도 별로 깨끗하지도 않네@@안주는 제일 맛있는데 몇몇 알바들 너무 불친절 해요. 진상도 많고 힘든건 이해하겠는데 저희가 진상부린것도 아닌데 너무 틱틱대는거 아닌가요... ㅜ@@맛 : 맛있는편 양 : 핵많음 친절 : 불친절~보통 사이 화장실 : 없어요. 없습니다. 그낭 없다고 생각하고 가세요. 쓰레기...심지어 별관화장실도 쓰레기...화장실가다가 황천길 갈 수 있으니까 계단조심하세요!  3.5점 주고싶은데 표시가 안되네요. 돈많이버셨으면 제발 화장실 좀 고쳐주세요...그것만 빼면 좋은곳@@@@가성비  ㅡ> 여태까지 가본 술집 중에 가장 지립니다  청결도 ㅡ> 하 of 상 중 하  맛 ㅡ>  중 of 상 중 하  서비스 정신 ㅡ> 알바생분들이 전반적으로 거의 좋게 말하면 무뚝뚝하고 안 좋게 말한다면 싸가지 없습니다  결론 ㅡ> 알바생분들 태도만 좀 개선한다면 만족합니다@@기본서비스가 너무많다 위장작은분은 가면 기본서비스도 다 못먹을듯@@@@@@"
원앤온리커피,카페,,서대문구,이화여대7길 31-4 1층 (우)03766,#감성카페#제로페이,4.2,10,@@감각적인 스튜디오 분위기. 사장님 친절함@@분위기는 좋습니다 음악도 좋습니다 커피랑 디저트는 무난합니다. 다만 모든 좌석이 매우 딱딱해서 불편합니다.. 사장님은 친절하세요@@사장님 친절하시구 치즈케익이 인생케이크 였음 @@넘이쁘다..@@치즈케이크랑 브라우니는 맛있는데 말차에서 해초?바다의 맛이 너무 강해요.....다 남겼습니다ㅠㅠㅠㅠ@@오픈 11시라고 그래서 1시쯤 갔는데 갑자기 문 확 여시면서 오픈안했어요; 이러면서 개/싸/가/지 없게 말씀하시고 문 꽝 닫으셔서 너무 놀랬어요@@나만 알고싶은 카페@@이쁜데 맛도 있고 사장님도 좋으심@@맛있음@@
연대포,"호프,요리주점",,서대문구,연세로7길 26 (우)03788,#민속주점#카카오페이#제로페이,3.5,15,"@@@@전이 하나도 바삭하지 않아요ㅠㅠ@@기본안주 나오는 도토리묵, 콘치즈 너무 부실하구여 ., 전도 너무 기름에 쩔어있는거 같구,, 두부김치도 두부야들야들한 맛에 먹는 저는 취향이 아니었네요 ㅠㅠ@@거의 유일한 전집이라는 데서 플러스. 위생과 서비스 마이너스.@@막걸리랑 전이땡길땐 여기루!@@친구들끼리 시끄럽게 떠들고 놀기 좋은곳! @@막걸리 다양 위생 ㅂㄹ@@가끔씩 땡길때가 잇다. 기본 안주구성이 야무짐@@@@단체로가서 막 먹는곳@@여러명 가서 여러메뉴 시켜먹는 맛@@@@맛있는데 더러워요@@@@"
스타벅스 연희DT점,커피전문점,1522-3232,서대문구,연희로 144 (우)03723,#카카오페이,2.9,25,"@@스타벅스에서 이렇게 불쾌한적 처음. 남직원 정말 불친절하고 짜증스럽게 손님한테 시비걸고 나머지 직원들도 마찬가지고 주문도 잘못 나옴 일하기 싫음 남의 가게 망치지 말고 그냥 그만두세요@@손님한테 인상찌푸리면서 주문받는곳  안경쓴 남자분~^^@@불친절해요 한두분이 아님.. 길 너무 막혀서 경찰분들 상주@@다 좋은데 딱 한사람 때문에 @@드라이브스루 엄청 오래 기다려야 하구요 거기 차량 통제하시는 분 너무 불친절해서요 커피마시러 갔다가 기분 나빠져서 돌아갑니다@@와 안경 쓴 남자직원 진짜 불친절하네요.@@주차 시스템 ♪♩♬♬@@진심 불친절 팍팍 느껴짐 . 스벅 중 최악 서비스@@오늘 회사쉬는날이라 모처럼 기분전환겸. 그곳에서 따뜻한아메달라했는데 자꾸 직원이 프리퀀시말하길래 두번이나 말했는데도 따뜻한아메달라고 주문했는데.... 3정거장 땀뻘뻘흘리고 마스크벗고마시려보니 카페라테라니 전 참고로 우유를 못먹어요ㅜㅜ 고객센터 두번이나 접수했는데 왜 답변은 없으신거죠?@@디티매장임에 너무 감사하고... 근데 줄이 길때는 너무 길어요. 버스정류장까지 다 막고 쳐내든가 새치기하는 차들도 있고 난장판. 그리고 직원? 저는 몇년전에 걸어서 매장으로 직접갈때는 진짜 센스좋은여직원분 계셨던에 기억에 남네요@@사이렌오더 확인안함..  직원 5명 아무것도 안하고 수다떨고.. 매장와서 사이렌오더 했다고 하니까 그제서야 확인해서 준비해줌... 에휴 @@알바 신경좀써야할듯ㅡㅡ 센스가없냐@@안경쓴 남자알바 불친절 주차시비@@몇 안 되는 DT매장. 편하게 차로 이용가능해서 좋음.@@주차장만 좀더 넓히면 완벽@@최근 리모델링 좋아요 dt 줄 길어요...@@@@친절하고 사람이 많지 않아서 좋음@@친절해요, 사람이 넘많다는게 흠ㅜ@@친절한게최고에요.할리스커피는 직원이 저랑싸우기도했어요.그래서 저는인제할리스이용안해요.여기는친절해서좋았어요.이다음에도 친절한 서비스가겨속됐으면좋했내요@@아늑하고 직원분들 친절함.@@멋진 분위기에요@@친절하고 조용하고 분위기가 좋아요~@@@@"
산천마루,닭요리,02-394-3919,서대문구,세검정로1길 21 (우)03615,#친목모임#회식장소#제로페이,4.1,14,배달만 먹어봤는데 넘 맛있어요 아기들도 좋아해요 ㅎㅎ@@@@가족끼리 와서 먹었는데 죽이 대박이네요~~ 밀키해서 너무 맛있었어요!ㅎㅎ @@맛있어요. 게장도 강추.@@맛있어요 이런데는 닭보다 누룽지가 더 맛있죠ㅋㅋㅋ예약하고 가세요@@@@@@@@@@좀 오래되고 맛은 그냥 보통이예요. 누룽지백숙은 맛 괜찮은데 그냥 백숙은 비싸고 일반적인 맛이예요.@@예전맛이 아닌 듯 오리 냄새가 나고  그냠 도토리묵 만 추가 해 먹음 손님도 많이 없는데 예약한게 뻘줌 @@@@@@@@
연희미식,중식,02-333-2119,서대문구,연희맛로 22 삼원빌딩 1층 (우)03708,#대만가정식#혼술,4.2,19,"한 번은 괜찮은데 두 번은 모르겠어요@@맛있어요. 다만 가게가 넓지 않고 예약이 안 되어서 웨이팅하실 수도@@오향장육을 시켰는데 장을 안줬다 장을 안주시냐 했더니 자기네들은 그걸 덩이라고 부른다 라는 이상한 말만 했다 그래서 장 안주세요? 그랬더니 원래는 줬는데 관리가 어려워 장을 안준다고 햤다 그게 훨씬 더 깔끔하다고 했다 이해할수 없었다 그럼 오향육 아닌가? 메뉴판에 공부가주가 만원으로 되어 있었는데 하나 달라고 했더니 대자 중자 물어보길래  중자 주세요 했다...@@확실한 건 끼니를 때우는 곳이 아니라 술집이라는 것 특별히 맛이 있는것도, 가성비가 좋은것도 아니다 창은 지저분하게 가려져서 분위기도 어둡고  음식에 재료는 적절히있으나 양이 매우 적다 모든 면에서 실망스러움@@볶음밥, 오징어 볶음, 덴뿌라, 만두 전부 맛있었습니다.@@@@가성비 좋고 맛 좋고@@영업시간 오후 3시부터네요ㅠ@@@@Chinese@@맛있는 중식당이 많은 연희동에서도 으뜸..!@@비싸지만 맛있는데 먹어야지 어쩌겠어@@모든 메뉴 다맛있습니다..@@볶음밥 멘보샤 오징어 다 술 땡기는 맛 ㅠ 미친x(좋은뜻)임 ㅠㅠ@@오징어튀김 원탑 게살볶음밥, 교자 전부 다 짱맛있어요 모든 메뉴가 완벽한 맥주안주@@대만에서 먹던 볶음밥이 너무 땡기는데 아무데도 그런 볶음밥을 하는데가 없어서 찾다찾다 여기를 오게 됐는데 맛있지만 대만 볶음밥에 미치지 못해요. 새우 만두는 간이 전혀 하나도 안 돼 있는데  그게 원래 그런건지 그 날만 실수가 있던 건지 모르겠으니 미리 한 번 물어보세요.  새우 자체는 그 어디서 먹었던 새우보다 훨씬 알차게 들어 있어요.  다른 메뉴는 안...@@오징어튀김황비홍은 오징어보다 고추가 더 맛있어요 (아삭) 바지락 없어서 샐러리 볶음 시켰는데 요것도 별미네요 (з´⌣`ε)@@짜사이: 0점 잠시 이곳에 온 것을 후회했다 오징어튀김황비홍: 5점 마라향베이스에 바삭쫀득한 오징어 과자같은 고추튀김 별미다 맥주가 절로들어감  게살볶음밥:4점 간이 심심한게 다른안주와 조합이 좋다 고소해  교자만두: 4점 바삭한만두속 육즙터짐  @@아는 사람만 아는 맛집!!!@@"
올레무스,카페,,서대문구,연희로5길 58 1층 (우)03716,#정갈한느낌#제로페이,4.4,48,"무화과 멜바 맛있어요! 가격은 비싸지만 한번 먹어볼만 해요~@@둥지 디저트 있을 때가 조금 그립긴한데, 새로 오픈한 뒤 가게 테이블도 이용하기 더 편해져서 좋아요. 특히 아이스크림 너무너무너무 맛있음 친절하셔요@@@@@@첫방문으로 딸기카더멈타르트와 브루잉커피 에티오피아를 마셨는데 커피와 디저트 다 맛있어서 기억에 남습니다@@@@디저트도 음료(특히 차)도 좋지만 가게 분위기가 좋아요 기분 좋은 향이 나는 곳입니다 @@무화과 멜바를 먹었어요 오묘...한 맛! 참깨 향이 강했습니다 티랑 어울리는 디저트였으면 좋았을텐데ㅎㅎ; 아 참 여기 와이파이 없어유~@@@@차와 몽블랑. 사랑@@기물, 매장 내 분위기와 차를 우려주는 분의 모습이 통일성이 있어서 좋았다.  가게의 시작을 담아 새둥지 모양의 몽블랑과 모나카를 맛 별로 먹어보았다. 잘 만든 모나카 피는 혀나 입에 달라붙지 않으니 이곳의 과자도 꼭 먹어보길 바란다.  몽블랑의 경우, 재료가 서로 잘 어우러지면서도 딜이나 크런치로 약간 환기가 되는 점이 좋았다. 무엇보다 밤크림이 인공적이...@@분위기@@지금 리모델링 공사중인듯~ 지도에서 영업중이라고 뜨길래 갔더니 공사중... 급하게 인스타들어가니까 휴업중이라고 되어있네요... 인스타안보고 지도만 보시는분들 헛걸음하실수도 있어서 리뷰로 씁니다@@@@얼른 다시 문 여셨으면..(애정)@@손에 꼽을정도로 모든 디저트는 음료 맛있다. 잘 안열고 매번 기다리여 하는 건 슬픔. 사장님 친절. @@녹차의 퀄리티가 기대한 것보다 별로고 코로나 때문인지는 몰라도 디저트 메뉴가 전보다 조금 다운그레이드 된 것 같습니다. 전반적으로 나쁘진 않은데 아무래도 공간이 협소하고 뒤에 웨이팅이 있을 경우 여유롭게 이야기하며 먹을 분위기는 아니기때문에 그닥 갈 메리트가 있는지는 모르겠어요.@@디저트가 독특해요! 자리가 조금 협소해요@@분위기, 차, 오는 손님들까지 너무 좋아요:) 다들 차분한 분위기에서 조곤 조곤 대화를 물론 구조가 그렇게 되있기도.. 차와 디저트 다 너무 맛있었어요!@@긴 기다림 끝에 먹었을 땐 “이렇게까지 기다릴 정도는 아닌데..” 였지만 나중에 종종 생각나는 그 맛!@@마싯다@@i came after seeing photos of the fig melba—it looked so beautiful (and instagram-worthy) but wow...i didn’t expect it to taste amazing too. the complex flavor and texture profiles of the various comp...@@분위기가 너무 좋고 연남동의 있는 많은 카페중에서 가장 기억에 남는 곳입니다. 대접받는 느낌이 들었고, 디저트도 너무 맛있었어요@@휘낭시에 미쳤습니다.. 살면서 먹어본 휘낭시에중에 제일 맛있어요 가격이 많이 사악해요ㅠㅠㅠ 가게도 넘 예쁘구 좋았습니다 코로나 때문에 안에 못있던게 아쉽 무화과가 올라간 아이스크림? 아무튼 그 디저트는 개인적으로 별로얐어요 비싸기도 비싸고 맛도 그저 그냥... 무화과 좋아하는 편인데도 다 못먹겠더군요 근데 휘낭시에는 진짜 미쳤어요 담에 쓸어와야지@@사장님이 정말 친절하시고 디저트도 맛있어요 하지만 가격이 너어무 사악한 게 단점입니다..!@@맛있는데 사람이 너무 많아요.. ㅠ@@@@입과 눈이 황송해지는 곳. 차와 디저트, 작지만 아름다운 공간, 그리고 그곳을 아끼는 주인분들의 태도까지. 정말 소중한 공간.@@친절해요 음식사진은 찍어도 된대요 평소에 차 좋아하는 친구는 엄청 좋아했는데 저에겐 아직 어려운 맛이었어요 ㅎㅎ 그래도 괜찮은 경험 차 다 마시고 요청하면 한번 더 내려주시네요@@좁고 조용한 장소인데 인스타에 뜬 이후로는 이 장점이 사라짐....@@언제 여는지 모르겠네요 맛있다고 야단인데 문을 열어야 말이죠... 맨날 허탕쳐서 가는거 포기했어요 @@@@@@"
타코로코,"멕시칸,브라질",02-333-6469,서대문구,연세로7안길 37 1층 (우)03787,#멕시코요리#이국적인#제로페이,4.3,52,"짱맛탱 또가야지ꕤ @@말해뭐해 개존맛 망하지만 말아주세요 저 졸업할 때까지@@가격도 괜찮고 맛도 괜찮고@@220116  엔칠라다와 피쉬 타코, 칠리 치즈 감자. 28,000 전체적으로 사워크림(1,000) 하나 추가해 두고 먹으면 만족스러운 식사 20 대단하진 않지만 훌륭한 타코집. 이상하게 사이드가 더 좋다.@@신촌 갈때마다 감@@깔끔한 맛 엄청 특별히 맛있는 느낌은 아니었지만 굿굿@@야바이 옆에 있어서 웨이팅하다가 들어감. 그런데 오히려 기다리던 야바이보다 맛있었음.. 재방문 의사 있음.@@그냥 무난한 맛.. 너무 소스맛이 강해요@@@@엔칠라다 진짜 맛있음 @@@@타코 좋아하는데 괜찮았어요@@짱 맛있음… ㄷㄷ 엔칠라다 (비프) + 부리또 볼 (아보카도) 먹음 둘 다 꿀맛이야… 특히 엔칠라다는 꼭 먹어야됨@@맛있게먹었음.@@가끔 타코 생각날 때 간다.@@엔칠라다 주문했는데 생각보다 너무 맛있었어요!!!ㅎㅎ 브리또도 맛있었어요 또 올 것 같아요@@돈주고 다시 먹진 않을 듯 합니다@@미국 살면서 타코 부리또 께사디야 등등 멕시칸음식 정말 많이 먹어봤고 멕시코 여행도 여러번 가봤지만 authentic한 현지의 맛은 아닌거 같네요...ㅎㅎ 맛이 그렇다고 엄청 나쁘진 않지만 이 가격 주고 먹을 맛인진 정말 모르겠어요...; 또띠야 밀가루 맛이 넘 많이 나요ㅠ@@한국에서 먹은 타코중에 가장 현지맛나요 물론 가격은 아니지만..@@새우 타코가 정말 맛있어요.  제로콜라가 있는 점도 좋습니다.@@Authentic Mexican food! 미국에서 멕시칸 즐겨먹던 사람으로서 멕시칸 음식 자주 찾아먹는 편인데 막상 너무 달거나 한국인 입맛에 맞춘 퓨전이 대부분이어서, 큰 기대안하는 편. 그러나 여긴 찐이다... 밥, 고수, 사워크림 재료 하나하나 아끼지 않고 미국 사이즈와 맛 정말 감동ㅠㅠ Salsa, guac, chips 모두 흠잡을데가 없네요. G...@@갠적으로 좋다고 생각하는 신촌멕시코음식 맛집.@@타코, 브리또가 되게 맛있는 집.@@타코와 로코를 매일찍는 기분@@@@음식도 맛있고 사장님이 친절하시다. @@멕시코 오리지널 타코는 아니고 미국식 타코 가끔 생각나서 가는 곳@@이국적인 분위기와 맛도 좋아요 다만 메뉴 안내가 좀 이해하기 힘들었어요@@+ 최근 방문 후 업뎃 요기 가게가 사라진게 아니고 바로 맞은편 1층 넓은 곳으로 이전했어요. 예전 가게의 분위기가 그립긴 하지만 맛은 그대로네영. 사이드메뉴가 좀 추가된거같은데 담에 다시 도전!  (예전리뷰) 부리또는 여기가 최고! 택도 없이 비싸기만한 다른 타코집에 비하면 여기는 알찬 구성에 가성비도 좋음. 아무리 배불러도 과카몰리랑 칩은 꼭 시켜야하고...@@@@적잖이 올라간 고수 조차 존재감을 발휘하지 못할 만큼 커민의 향과 맵씰한 맛이 자극적이고 거칠다. 여기에 비하면 홍대 구스토타코의 음식은 오히려 순하고 얌전한 맛이다. 그러나, 2층에 있는 이 가게로 올라가는 길은 지저분하고 괴기스럽기까지 했고, 작고 어두운 주방은 잘 정돈되지도 깨끗하지도 않았다. 이걸 이길 만큼 엄청나게 맛있지도 않은데 어찌 두 번을 가...@@영업 시간좀 바꾸세요 헛걸음..@@@@맛있어요. 주중 점심에가면 소다천원에 감자튀김도 주는게 진짜 최고에요. 고수 많이달라하면 아끼지않고 팍팍줘요. 부리또도 맛있지만 여긴 엔칠라다가 정말 짱인거같아요. 토마토 바실리코같은게 없는건 조금 아쉽네요! 하지만 있을것 다있음. 캐챱도 하인즈..@@퀘사디아 엔칠라다 타코 부리또 다 맛있다 낮에 가면 맥주가 천원 너무좋다@@"
