식당이름,카테고리,연락처,구,상세주소,해시태그,별점,별점수,리뷰내용
용마해장국,해장국,02-2209-5938,중랑구,용마공원로5길 8 (우)02180,#노포#제로페이,4.0,29,"새로운 장르의 해장국이네요-! 맑은 갈비탕 국물에 채소와 선지가 들어간 느낌이이에요-! 국물이 진짜 달고 깔끔하고 시원합니다! 흔한 얼큰한 해장국이랑은 전혀 다른 세계입니다! 특히 선지가 너무 부드러워서 푸딩같아요! 이런 선지는 태어나 처음이었습니다! 처음가서 먹어보고 반해서, 바로 포장까지 해왔습니다. 왜 사람들이 대기하고 기다렸다 먹는지 알겠어요  아참...@@가격이 천원 올랐네요. 매장이 좁고 굳이 멀리서 찾아올정도는 아닌거같지만  집근처라 가끔가는데 국물이 담백하고 양도넉넉하고 해장에 좋아요~ @@뜨겁게 부글부글 끓이면서 테이블에 뚝배기를 올려주시는데,고기가 약간 덜 삶아져서 약간 질기고,선지는 이상한 냄새가 나서 통과. 깍두기는 적당히 익어서 맛있었지만 김치는 또 이상한 맛. 해장국에 들어있는 콩나물은 미리 삶아 놨던거라 수분이 다 빠져서 질기고 우거지는 너무 익어서 다 풀어짐. 밥그릇 뚜껑에 묵은 때가 누렇게 쩔어 있어서  비위가 약간 상했음. ...@@@@@@@@@@장점: 해장국 하나는 진짜 맛있음 단점:  여사장님 좀 불친절함 ...  주차가 힘듬~@@@@우거지 갈비탕 느낌 또는 맑은 우거진 선지국 느낌.@@@@먹어본 해장국 중에서 가장 담백하고 맛있었어요. 꼭 다시 갈겁니다~@@@@굿@@낮 10시30분쯤, 한테이블 낮 술먹고 있더라. 젊은 사람들이~~ 그사람들 피해서~코로나도 있고, 4인 자리 앉을려고 하는데(우리는 2인) 발끈하며, 술먹는 테이블 바로 옆에 2인자리 앉으라해서 그냥 나왔다. 보통 식당 자리 부족하면 옮겨 주기도하고, 맛집이면 언능 먹고 다음손님을 위해 서둘러 주는게 일반사람들이다.  음식맛은 안 먹어서 모르겠다.  하지만...@@백종원 3대천왕 출연. 선지, 뼈, 콩나물, 우거지 등 해장국의 모든 재료를 넣은 갈비탕 국물맛. 찾아와서 먹어볼 정도는 아님.@@집이 가까웠으면 매일 갔을텐데!@@방송한번탔다고 주인장 할아버지 겁네  거만함 아  거기  앉으라고 승질내면서 말하네 물마시고 있는데  머 들어가자 마자 바로 앉아야돼나? 교도소여?  그리고 한테이블 있는데 굳이 같이 앉으라는건 먼 심보인지  내가 무료급식타러간것도 아니고 기분나빠서  다시는 안감  @@맛있고 대박집인줄은 알겠는데 자리도 있는데 굳이 합석시켜서 먹이는건  요즘시대에 벌금 아닌가요 @@레트로 느낌 팍팍나는 가게외곽. 국물이 너무 시원하고 개운합니다. 흰쌀밥에 매콤달콤 고추장아찌 좀 먹다보면 팔팔 끓는 국물 나와요. 선지빼면 고기도 꽤되고 근래 먹은 해장국 중 제일 맛있었어요. 강추입니다! 앞에는 주차할데 없어요. 메뉴는 해장국 1가지 7천원 포장됩니다 고추장아찌 구입가능 3000원@@올여름에 방문했었음 선지는 신선하고 양도 많음 근데 서빙하는 아주머니가 사장님인가요? 위생 무엇.. 길고양이가 매장안에 들어왔는데 딱봐도 지저분해 보임 근데 맨손으로 들어다 밖에 내보내고 손도 닦지 않고 반찬 주시네요. 맛은 있는데 그거 보고나서 다먹지도 못하고 나왔습니다. 포장만 해가다가 매장에서 먹으면 장아찌 반찬이 예술이라길래 간 거였는데 선지해장국과...@@사장님과 직원분들의 연륜이 묻어나는 맛. 건강 한끼 채웠습니다. 오래오래 먹고싶습니다. 최고.ㅎㅎ@@@@주차가 힘들어요@@Since 1997. ""삼대천왕"" 추천의 해장국집으로 마늘을 듬뿍 얹은, 맑고 개운한 국물과 부드러운 선지 그리고 우거지와 콩나물이 듬뿍 들어간 소뼈해장국은 진정 역대급이다. 중독성이 충만한 시콤매콤함이 일품인 고추장아찌를 곁들이면 금상첨화다.@@@@+해장국 갈비탕 같으면서 선지와 우거지, 고기가 들어있는데 엄청 맛있다!@@시원하고 괜찮아요. 방송나온 후 맛이 약간 떨어졌지만 그래도 다른 곳들보단 괜찮아요. 고기보단 선지위주로 드세요.@@@@"
소담촌 상봉점,샤브샤브,02-434-1999,중랑구,망우로 328 시네마시티 15층 1501호 (우)02149,#샤브샤브무한리필#점심식사#점심특선#제로페이,2.8,18,"음식은 맛있어용@@불친절하다고 후기쓰려고 왔는데 비슷한 후기들이 많네요^^ 역시 한결같이 고객들을 대하나 봅니다. 리필바에서 지키고 서있고 자꾸 쳐다보고 서빙도 제대로 안하고.. 정말 다신 안가요 :)@@최악. 직원이 매우 불친절합니다. 앞에 서서 눈치 주는건 기본이고 계산대 단발머리 직원인지 사장인지 손으로 가르키면서 말 한마디 없이 계산하고 싸가지 없었어요. 그딴 마인드로 장사할거면 때려치시길 바랍니다~ 맛도 그냥 그럼@@매우 불친절@@음식은 맛이 있어 혀는 즐거웠으나 여사장님의 불쾌한 서비스 덕택에 귀와 마음은 괴로웠습니다 ^^ @@가성비 좋고 셀프코너 야채들 다 신선하고 맛있음 재방문의사 완전 있음  @@아 먹다가 철 ?쪼가리 나오고 물컵서 이물질, 접시 위생상태 ○○○ 불량하네 철 쪼가리 나오고 바로 나옴  ○○○ 퉷@@두시간 제한이라고 공지된바 없이 엄청 눈치주고 나가라는 식입니다. 특히 그 여사장.. 한두번도 아니고 정말 .. 동네라 자주 가는 손님 모르고 눈치 엄청주시네요  저희는 여긴 절대 안가고 사가정에 있는 더 좋은 샤브샤브 집으로 갑니다@@괜찮아요@@@@@@저희 엄마 매주 가요 가성비 좋다네요@@야채가 신선하고 음식맛이  깔끔하네요 친구들 데려왔더니 다들 만족해서 다행이었어요^^ @@장점 : 맛은 있음 단점 : 서비스가 심각하게 안좋음. 일단 사장 자체가 불친절  -한명에서 온 손님 안받는다고 무안할정도로 불친절하게 거절함, -갔다가 내려오면서 싸가지없다고 하는 손님들 엄청 많음. -단체손님한테만 친절하고 학생가면 약간 무시함 -직원교육도 안되어있음 음식먹는곳에서 화장을 하고 있어서 위생이 걱정됨... ※ 맛있긴한데 계속 이런식으로 장...@@서비스 개똥 ㅠ 그리고 위생이..너무 더러워요 집게랑 국자 잘 보세요.. 안닦인거 많음@@샤브샤브 재료 모두 셀프로 가져다 먹어야하며 어른들과 함께 혹은 아이들과 함께 가는 곳으로 추천하지 않음. 여기 사장도 다 먹었으면 자리 비켜달라고 말하는 X가지 없는 곳@@만족도 높은 곳@@이미 이 일대에서 소문난 음식점.  찾는 사람들이 너무 많은 것이 단점일 정도임@@"
쭈꾸미킹 상봉점,"해물,생선",02-439-0035,중랑구,송림길 13 (우)02086,,3.5,21,"Pcr음성 확인서 갖고갓는데도 밥먹는중에 나가란말 들었네요.  공문 보여드렸는데도 아니라고 우기고...진짜 기분더러웠네요. 방역패스 지침이 헷갈려서 그러시는거 이해는 하겟는데 먹다가 댸뜸 나가라는 소리들으면 기뷴이 어떻겟습니까? 이런건 여러번 확인해보고 정중히 얘기하시는게 맞지않나요.  @@@@맛은 약간매움 양은 보통  음식조합이 좋음@@쭈꾸미양 혜자@@최고입니다ㅠㅠ 최고@@@@안녕하세요 테디정입니다. 철판보단 볶음입니다.@@맛있었어요 딸램이 피자좋아해서 이리오는데 맛나요@@good~~~^^♡♡♡♡♡@@맛있어요. 레알. 맵게 해달라고 막 눈에 불 켜시면 진짜 미친 매운 맛 주고요. (불닭볶음면의 세 배는 되게 해줌ㅋㅋㅋ) 밥 더 달라고 하면 군말없이 밥 더 줍니다.    무료  가끔 너무 힘든지 불친절하기 그지없는 아르바이트생들이 있지만 맛있고, 매운맛 뒤에 먹는 달콤 시원한 하드를 잊지 못해 종종 갑니다.  쭈꾸미킹은 정말 쭈꾸미 킹임.@@여지없이 가성비 최고 @@기다리지 않고 먹는다면 가성비 괜찮습니다.@@요기 맛있는디...평점이 생각보다 안좋네 가성비 좋고 맛도 좋음@@중랑구에서 가격대비 짱인듯 ~~ 피자는 왠만한 피자집보다 맛난듯  쭈꾸미는 맛난데 가끔 맛이 조금 틀려질때도 있는듯@@내일이  아들생일이라 예약할겸 애엄마랑  답사겸 저녁먹을겸  방문.. 철판쭈꾸미킹  2인분주문. 그런대로 먹을만 했음.. . 식사끝나고  계산하고.카운터주인한테. 나 ..내일 18시30분 예약 할게요..부탁 주인..우리는 예약  않받습나다..           본사 방침입니다.. 기분좋게 저녁먹는데..ㅡㆍㅡ. . . 물론  프렌차이즈   쭈꾸미킹은  예약이...@@처음보다 맛도 별로 서비스도 별로 예전에 자주 오던곳이였고 진짜 오랜만에 방문했었는데 앞으로는 오지도 않을듯.@@점심때 주차장에 차량 많다고 주차아저씨가 지금장사안한다고 밥못먹는다고 나가라고 한다  혼자말로 차더럽게 많이 들어온다고 투정하더이다 기가막혀서 손님 모시고 갔다가 쌍욕은 못하고 그냥나왓지만 기분이 상당히 안좋아서 다신안갈듯 싶다@@맛은 좋음! 근데 그 외에 서비스는 별로요. @@딱 가격만큼@@가격에 준하는 맛을 내은거같다. 주 메인요리가 아닌 피자와같이 나오는 쭈꾸미를 먹어서 그런지 무난하다고 생각했다@@고르곤졸라&쭈꾸리볶음&묵밥 을 한꺼번에 즐길수있는 맛지~~^^ 쭈꾸미는 조금 맵다는거~~@@"
이주소곱창,"곱창,막창",02-978-4723,중랑구,봉우재로33길 34 (우)02153,#카카오페이#제로페이,4.1,27,"볶음밥이 가장 맛있었음 고기에서 맛이안느껴짐... 곱창집에서 추가 안하고 간 적 첨입미다@@소곱창은 무조건 여기서만 먹음ㅎㅎ 볶음밥 싱겁다는 얘기가 많던데  볶음밥에 대창이랑 막창 몇개 남겨뒀다가 짤라서 넣어주고 쌈장 팍팍 넣어서 간맞추고 감자랑 양파 마늘 으깨서 같이 비벼먹으면 윤기좔좔흐르는 볶음밥이 완성됨 꼭 이렇게 드셔보세요  존맛임@@나이 많은데 민증검사했어요 아주 좋은 곱창집입니다.@@©2021. ethwang All rights reserved. @@모듬으로 먹었는데 곱창이나 대창보다 유창이랑 막창이 더 맛났어요. 볶음밥은 soso...@@진짜 맛있어요 제 인생 곱창집@@@@존맛! 친절!  가격은 밑 사진보다 2천원씩 올랐음@@소곱창은 정말 으뜸인 곳 다른 건 쏘쏘해요.@@@@구워주면서도 곱창이 타더라구요@@인생 곱창집입니다. 꼭 드셔보세요!@@아는 분과 갔었는데, 곱창 특유의 잡내가 없었습니다. 가격이 싸진 않지만, 1인분 양은 충분한거 같습니다. 맛있게 먹었습니다~~^^@@잡내는 없었어요 특별한 맛은 아니었던 것 같아요~ 밑반찬도 평범!! 그래도 잡내없었구 무난해서 4점남겨요@@그녀와 같이 있어서 좋았지유 ^^@@잡내없고 맛있음.  첨 먹을땐 이게 웨이팅하면서 먹을맛인가? 싶다가도  어느날 갑자기 또 생각나는 맛. 그렇게 한번 두번 먹다가 중독되어벌임. 존맛@@곱창 선도 좋음 단 사람이 너무 많아 평일에 가야함@@1인분은 추가도 안됨. 곱창도 반찬도쏘쏘.줄서서 먹을집 아님. @@맛도 서비스도 별로 왜케 평점이높죠?@@..평점이 되게 높고 손님도 많아서 엄청 기대하고 갔는데 기대가 커서인가요.. 별로였습니다. 모둠으로 먹엇는데 간이 하나도 안돼있는것같아요  그렇다고 비린거나 잡내는 없엇는데 대창먹을때 그냥 기름덩어리먹는것 같앗어요.. 염통은 진짜 맛있어요 염통맛집@@맛이 있긴한데 1시간줄서서 먹어야할정도인가..의문은 듭니다@@맛도좋고 친절하고 일단소주맥주가 말도안되게 시원해요 @@분위기좋고 .. 곱창 질이 좋아요 절대 냄새안남 단점은 술을 안먹고는 못배기는 맛...?@@모듬 시켰는데 곱창이 질겼어요 ㅠㅠ 다른 건 맛있었습니다! 아 그리고 볶음밥이 아무맛도 안나서 쌈장 넣어 먹으니 괜찮았어요~ 간을 좀 더 하시는 게 좋을 거 같아요@@곱창 막창 대창 유창 염통 끝판!@@맛있는데 양은 좀 적어요.@@줄 서서 먹었는데. 그 정도로 맛이 있진 않았고 아마 근방에서 질 좋은 곱창을 파는거 같아서 그런거 같다@@"
울타리곱창,"곱창,막창",02-491-7178,중랑구,중랑역로 20 (우)02109,#제로페이,3.3,32,"매장 위생 별로, 불친절 먹다가 머리카락인지 수세미 조각인지가 나왔고 돌같은 것도 씹었음@@동네에서 가기 괜찮은 정도! 찾아갈 정도는 아니에요, 치즈곱창이 맛있었고 다른 리뷰들처럼 불친절과 위생은 어느정도 동의하는 부분입니다! @@고기 냄새 너무 역해서 절반도 못먹었습니다 곱창 정말 좋아해서 가게마다 다 배달도 시키고 찾아가서 먹어보는데 제가 먹은 곳 중에 제일 최악의 맛. 왜 유명한지 정말 모르겠네요@@불친절@@맛은 괜찮은데 위생상태가 형편없어요. 앞 테이블 손님 나가고 행주로 테이블을 닦은건지... 물만 묻힌건지... 테이블에 음식 찌꺼기가 그대로 있어요. ㅜㅜ 곱창 팔아서 강남에 빌딩 산다고 하더니.... 오래전에 샀나봐요...@@치즈곱창 짱이에요 존맛탱♥♥@@싸고 맛있고 양도 많아요 !! 최고ㅠㅠ@@@@@@치즈곱창  먹어본 곱창중에서 최고 개인적으로 치즈곱창이 맛있음  테이블간격 좁고, 위생이 신경쓰이긴 하지만 맛있음 -> 3월말에 리모델링 완료한 이후로 테이블간격 넓어지고 깔끔해짐@@@@최근엔 코로롱때문에 포장만 계속 이용중인데 남자 직원분 일처리가 조금.... 그래요..... 주문 받는 과정에서 실수하셔서 매장에서 한참 기다리게됐는데, 사과도 별다른 조치도 없이 그냥 계~~속 기다리다가 받아서 나왔네요... 심지어 곱창은 미리 포장 완료된 상태였어서 엄청난 속도로 식어감ㅠㅠㅠㅠ눈물쭈루룩 그래도 맛있었으니 별점은 하나만 뺍니다⭐️⭐️⭐️@@오래된 맛집 sns치즈곱창으로 유명해졌지만 치즈말고 그냥 야채곱창 추천  너무맛있는데 먹고나면 항상 다음날 화장실가고 힘듬 ㅜㅜㅜㅜ@@야채곱창 존맛@@여전히 맛좋아요  소주가 아주 술술 잘 들어갑니다 알곱에 소주 최고에요  선착순 콩나물국은 꼭 드세요  치즈오돌에 콩나물 넣고 버무려 먹으면 아주 끝내줍니다 @@맛있지만 사장님께서 현금 세던 손 그대로 상추 담아주시더라고요@@@@예전보다 뭔가 더 맛있어졌어요 예전에는 치즈곱창이 싱거웠는데 최근에는 딱 적당했어요 양도 넉넉해요@@난 사람들이 울곱 왜 욕하는지 모르겠음 진짜 내 인생 일등 최고 맛집인데 거짓말 안 하고 지금까지 백번은 간듯 한달에 두번은 꼭 가는편 진짜 울곱 개맛도리@@존맛@@그냥구래여 요즘은 어딜가도 다 이정도는 하는것 같은데 홍보가 잘된건지 웨이팅 맛집이네여 노이해@@맛있어서 4번째 방문입니다. 오랜만에 왔는데 맛이 맛없게 바꼈어요 깻잎의 쓴맛이 너무 강했고 돼지 냄새가 났어요. 맛도 변하고 푸짐한던 양도 변했어요. @@@@재방문의사 없는 3점 양많고 저렴한데 냄새가 심한편 그래도 먹을만함@@두번 가봤는데 두번 다 양은 많은데 처음 먹었을때 돼지냄새가 너무 심했어요. 먹다보면 익숙해져서 괜찮긴합니다..@@개맛없는데 중화동 사람들 입맛이 이상해서, 입소문나면 그게 맛있는건줄알고 처먹음.@@일단 맛도없고 특히치즈곱창 별로에요 그리고 음식에문제거있는건지 다음날 배가너무아파요 저만그런게아니고 주변사람들핮테물어보니가 10에 6은 그랬다네요 참고로 다른데서곱창먹으면 배아픈적없었는데말이죠@@돼지냄새 안나고 안찔기고 너무 맛있었다 양 대혜자인데 저기에 밥까지 볶아먹었음@@기대 많이 하고 갔는데ㅜㅜㅜㅜ  제 입에만 그런건지 냄새도 많이 나고ㅜㅜㅜ 별로였어요ㅜㅜ 재방문 안할것같아요ㅜㅜ@@@@"
태능배밭갈비,갈비,02-973-9292,중랑구,동일로143길 30 (우)02012,#가족모임,2.7,19,"바쁠 때 빼고는 개친절하다는데 동의@@개친절하심. 불친절하다는 사람들 인성이 빻은 듯. 아님 진상짓을 하고 삐져서 그런건가@@가게 운영 최악… 이렇게 할 거면 하지를 마세요. 가격도 있는 편인데 서비스 최악이고 직원 분들 자기들끼리 혼란스럽고 .. 라뷰 남긴 적 없는데 여기 정말 최악이라 남겨요. 자리 안내도 없어서 알아서 앉았고, 메뉴판 달라고 말해도 신경 안 쓰고 결국 알아서 메뉴판 가져오고 주문도 겨우했는데 30분 동안 앉아 있어도 음식 안 나왔어요. 저희 구역 세 테이블 ...@@밑반찬이 맛있고 직원들이 친절합니다@@맛없어요 서비스도 별로@@1점도 아까움 5인이상 집합금지 풀린지가 언제인데 쫒아냄 장사할 의지가 없음 사전고지라도 해주던가@@흔한 동네식당 맛집 아님@@얼마전 방송을 보고 애들 어렸을 때 몇번 갔던 기억이 있어서 전화하니 전화를 안 받더군요.  멀지 않은 거리라서  가 봤더니 방송 때문에 전화가 너무 많이 와서 안받는다는군요.  맛이 옛날 맛이 아니더군요. 전통갈비라는데 전통갈비가 아닌 붙인(뒷다리인지 앞다리살인지) 갈비더군요. 방송의 위력이 대단하네요. 평균보다는 조금 떨어지는 맛이네요.@@직원분들 친절하고 음식 맛나고 전통돼지갈비 심심하니 달큰하게 고기  좋은거 쓴듯 비 오는 날 고생해서 왔는데 좋았어요^^@@평범. 난 친절하다고 느꼈는데 케바케인가보네요@@이런 집 팔아주면 안됩니다@@완전 별로 싸가지없고요 0점 없나요@@별로@@쌉별로@@맛잇음. 저렴. 구워줌. 친절@@맛있어요  가게내부도 깔끔하고  특히 고기구워주시던 분이 너무 센스 있으시고 친절하셔서  정말 기분좋게 먹었어요 @@고기가 섞여 나옵니다.@@모두 친절하시고 갈비가 진짜 맛있어요 .....@@@@"
찜집 본점,"해물,생선",02-494-0044,중랑구,면목로 287 (우)02239,#안심식당#제로페이,3.8,15,"별 한개도 아까운 식당 일하는(종업원)분들이 식탁에 모여 앉아 너무 떠들고 기본도 안되있는 서비스 기본도 안되어 있는 다시는 못올 식당@@맛있고 푸짐해요. 소자 양을 줄이고 값을 내렸으면 좋겠어요. 화장실 좀 깨끗하게 리모델링 하시면 더 좋을듯. 친절하시고 쾌적해요.@@@@@@@@여긴늘 맛나요 호불호는있지만 저는 맛나요 양도많고 맛도 좋고@@매콤한 맛과 해물의 깊은 맛의 어우러짐이 일품이다. 재료도 전혀 아낀 느낌도 안들고 엄청 푸짐하다. 너무 과하게 푸짐해서 속상하지만, 그럴땐 미리 덜어놓고 집에 와서 또 먹을 수 있게 포장용기를 준비해주는 점 덕분에 별 하나 더 주고 싶다.@@비싼데 비싼값해요 맛남@@맛있고 내용물이 알차요 먹은후 돈이 아깝지 않아요@@맛 양 둘다 만족~~@@@@진짜 맛없어요~~~@@@@'180805 해물찜 대자 - 양이 미쳤다. 해물 양이 미쳤다. 신선하고 맛도 좋고 사이즈도 크다. 6,7명이 먹어도 충분할수도. 최고. 대만족@@가격대비 양은 만족하지만 중요한 맛이없음.. 양념이..... 왜유명한지 모르겠음ㅠㅠ@@"
이학갈비 면목점,갈비,02-437-0170,중랑구,면목로 310 2층 (우)02249,#안심식당#점심식사#점심특선#친목모임,4.1,18,"맛있어요@@직원분들 친절해서 좋네요@@고기굽기 싫고, 오직 고기 먹는 것에  집중 하고 싶다면, 여기를 가라. 갈비탕 맛은 예전 같지 않은게 흠이다.@@@@회식으로 방문했는데 정말 너무 맛있었어요 직원분들도 친절하시고 매장도 넓고 다들 대 만족했습니다 재방문의사 200%@@맛있음~ 친절함~ 잘구워줌~ 가격은 있지만 가격만큼의 퀄리티가 있음@@비싸서 그렇지 맛잇어요! 서비스도 좋구요~ 가족들이랑 자주가는 곳이에요~~@@비싸고 깔끔하고 맛있음.@@비쌈 지역 화폐 제로 페이 안댐@@비싸지만 맛있음 ㅋㅋㅋ @@맛있음. 근데 비쌈. 그래도 맛있음. 하지만 비쌈@@갈비탕 맛남 단지 비쌀뿐...@@돼지갈비  가격만 비싸고  맛은 형편없어요 고기에서 냄새심함 다시는 가고싶은 생각 없음@@맛있음. 그러나 비쌈. 갈비탕도 맛남. 그러나 비쌈.@@갈비탕 국물이 깔끔하고 갈비양도 많고, 맛도 좋아서 만족스러움@@소갈비 먹으러가면 실망하고 돼지갈비 먹으러가면 만족할것@@@@가족과 함께 정말 맛있게 먹었어요. 광진구, 중랑구  부근에서  돼지갈비는 최고로 맛있는것 같아요. @@"
맑은샘,분식,,중랑구,용마산로99길 13 (우)02175,,3.9,19,"@@바쁘면 불친절하세요 짜증 내기 일수임 맛은 너무 달아요@@@@가성비 최고!! 떡볶이에 쫄면까지 넣어주셔요~!!@@20년 당골집. 한결같은 맛. 한결같은 가격. 바쁘실때 아주머니의 불친절함은.. 그냥 즐겁게 받아드려도 됨. 여유로울땐 친절하심. 학생하교시간은 절대적으로 피해야함. 대기... 암튼 추천@@@@어른들도 아이들도 좋아하는 곳 같은 골목의 크리스탈 분식과 함께 혜원여중고를 넘어서 국물떡볶이 맛집계의 완소집  20년이 넘도록 사랑받는 집은 이유가 있다  위생이 어떻고,양이 어떻고 하는 글이 있는데 어디가 1,800원에 이렇게 주는지 묻고 싶다  번호표가 없고 재료떨어지면 6시전에도 마감하시는게 아쉽지만  건강하게 오래 장사하셔서 계속 맛보고 싶은 정겨...@@가성비 최고 맛집!@@영업시간 기재한거랑 달라요 5시 전 도착이라도 이미 마감끝@@@@떡볶이하면 생각나는 곳  쫄면 떡볶이 빙수 환상의 콜라보@@계속 생각남@@변함없는 맛 튀김만두 떡볶기에 적셔먹어요 쫄면도 맛있어요  일찍 문닫아서 빨리가야되요 끝나는 시간을 적어놓아주심 더 좋을듯.. 대중없이 영업끝나서..발품만 팔고올때가 많아요 보통 5시에 끝나는거같은데 어떨때는 4시반 좀 넘어서도 주문안받음@@@@맛있어요~카드가 안되는게 아쉬워요!!@@@@떡볶이도 1800원 밖에 안 하는데 양도 많고 맛있고 야끼만두도 1개에 300원인가? 다른 분식집 보다 2~3배 더 저렴함 아주 좋아연@@점심 시간도 아닌데 대기 손님 굉장히 많았다. 맛집이라 기대했는데... 일단 손님 많아지니까 순번이 엉망이다 주문하고 계속 주방 앞에서 아주머니에게 독촉하는 사람이 먼저 가져간다. 먼저 주문한 건 의미가 없다. 바쁘다지만 주문 체계가 없다. 맛은 찾아가서 먹을정도는 아니다. 그야말로 여고 프리미엄이 크게 작용했을뿐 양도 사실 국물 빼면 떡이나 어묵 갯수가 ...@@맛있음. 떡볶이도 달짝지근 맛있고 국물도 괜찮고 값도싸고 양도 많고 쫄면도 굉장히 맛있고 다 완벽@@"
함평국밥,국밥,02-2209-3332,중랑구,봉우재로33길 73 1층 (우)02149,#제로페이,3.8,23,"육회비빔밥이 완전 꼬들밥이네요 진밥좋아하는저에겐  조금 아쉬웠어요 너무 기대가 컷나봐용ㅜㅜ@@육회도 육횐데 국밥이 진짜임.. @@함평은 국밥과 육회지! 밥먹고와도 국밥 와라라라락@@내인생..육회비빔 JMT@@여기 진짜 맛있고 서비스도 좋아여 저평가됐을때 매수하세영ㅋ@@@@@@너무 맛있음@@@@태어나서 처음 리뷰답니다. 육회는 최상. 손님접객은 최하. 일단 지르고 시작할게요 10년전부터 간간히 왔었지만 코로나 터지고 확실히 한가해졌긴 하더군요 안타깝습니다. 하지만 저도 자영업하기에 불만인것은 영업시간이 끝나기전에 손님에게 암묵적으로 나가라는 액션을 취한다는 것입니다. 10시 마감이겠죠. 8시반부터 다음날 장사를 위해  분주하게 술채우고 각테이블의...@@육회비빔밥 맛집. 같이 나오는 국물도 너무 맛있어요. 근데 자리가 좀 불편하다는 것이 단점.@@@@육회는 확실히 신선하고 맛있는데 국밥퀄이... 솔직히 육회시켜서 나오는 서비스 국물인줄알았음.  이게 우거지국밥이라 그래서 넘나리 당황쓰했던 기억이,.@@비싼음식 자리가 불편 @@@@육사시미, 우거지국밥이 맛있어요@@@@양 진짜 적고 맛도 그냥 그렇고  국밥치고 가격도 비쌈 @@육사시미 강추!@@불친절의 극치 @@앞으로 1000번 정도밖에 더 안 가려고요@@맛있습니다!@@육사시미(소중대) 2만5천~4만5천원.육회(소중대) 2만5천~4만5천원.우거지국밥 7천원.김치육회비빔밥(보특) 8천~1만2천원.왕국밥 1만2천원/17:00~05:00/휴무-일요일/함평에서 당일 도착한 한우를 고속버스로 받아 내오는 육사사미, 육회, 국밥이 유명함. 가게는 좁고 허름함@@"
